Date,District,Confirmed,Confirmed-total
08/06/2020,Mulanje,0,34
08/06/2020,Mwanza,1,24
08/06/2020,Mwanza PoE,0,202
08/06/2020,Mzimba North,2,497
08/06/2020,Mzimba South,4,124
08/06/2020,Neno,1,60
08/06/2020,Nkhata Bay,0,164
08/06/2020,Nkhotakota,4,39
08/06/2020,Nsanje,1,37
08/06/2020,Ntcheu,0,42
08/06/2020,Ntchisi,0,2
08/06/2020,Phalombe,0,10
08/06/2020,Rumphi,0,30
08/06/2020,Salima,0,44
08/06/2020,Thyolo,0,51
08/06/2020,Zomba,0,124
08/07/2020,Balaka,0,42
08/07/2020,Blantyre,36,1408
08/07/2020,Chikwawa,3,38
08/07/2020,Chiradzulu,1,23
08/07/2020,Chitipa,0,52
08/07/2020,Dedza,0,34
08/07/2020,Dowa,0,63
08/07/2020,Karonga,0,72
08/07/2020,Kasungu,0,43
08/07/2020,Likoma,0,5
08/07/2020,Lilongwe,21,1041
08/07/2020,Machinga,0,63
08/07/2020,Mangochi,0,133
08/07/2020,Mchinji,0,51
08/07/2020,Mulanje,1,35
08/07/2020,Mwanza,1,25
08/07/2020,Mwanza PoE,0,202
08/07/2020,Mzimba ,0,124
08/07/2020,Mzimba North,8,505
08/07/2020,Neno,0,60
08/07/2020,Nkhata Bay,4,168
08/07/2020,Nkhotakota,1,40
08/07/2020,Nsanje,0,37
08/07/2020,Ntcheu,0,42
08/07/2020,Ntchisi,0,2
08/07/2020,Phalombe,0,10
08/07/2020,Rumphi,0,30
08/07/2020,Salima,0,44
08/07/2020,Thyolo,0,51
08/07/2020,Zomba,8,132
08/08/2020,Balaka,0,42
08/08/2020,Blantyre,18,1426
08/08/2020,Chikwawa,1,39
08/08/2020,Chiradzulu,0,23
08/08/2020,Chitipa,0,52
08/08/2020,Dedza,0,34
08/08/2020,Dowa,2,65
08/08/2020,Karonga,0,72
08/08/2020,Kasungu,0,43
08/08/2020,Likoma,0,5
08/08/2020,Lilongwe,13,1054
08/08/2020,Machinga,2,65
08/08/2020,Mangochi,0,133
08/08/2020,Mchinji,0,51
