Country,Date,District,Confirmed,Confirmed-total,Deaths,Deaths-total,Recovered,Recovered-total,Imported,Local,New Arrival-T,Cumulative high-risk traveller,Contacts on Follow-up,Contacts discharged,Samples Recieved,Total Tested,Positive,Negative,Average Tests,Age group,Male,Female,Unknown,Local Transmission,Imported
Malawi,23 July 2020,Kasungu,1,37,0,1,3,8,14,23,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Likoma,0,2,0,0,0,0,0,2,1,,,,,,,,,,,,,,
Malawi,23 July 2020,Lilongwe,22,680,0,14,0,354,87,593,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Machinga,1,45,0,0,0,26,44,1,3,,,,,,,,,,,,,,
Malawi,23 July 2020,Mangochi,1,112,0,0,0,61,83,29,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Mchinji,1,47,0,5,0,12,5,42,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Mulanje,0,30,0,1,3,13,9,21,2,,,,,,,,,,,,,,
Malawi,23 July 2020,Mwanza,0,28,0,1,0,9,13,15,3,,,,,,,,,,,,,,
Malawi,23 July 2020,Mwanza PoE,0,173,0,0,0,173,173,0,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Mzimba South,1,446,0,10,18,190,11,435,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Mzimba South,1,100,0,1,0,21,29,71,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Neno,0,40,0,0,0,10,2,38,1,,,,,,,,,,,,,,
Malawi,23 July 2020,Nkhata Bay,11,118,1,2,2,33,30,88,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Nkhotakota,0,32,0,0,0,22,29,3,3,,,,,,,,,,,,,,
Malawi,23 July 2020,Nsanje,2,33,1,1,0,19,23,10,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Ntcheu,0,37,0,0,2,15,26,11,3,,,,,,,,,,,,,,
Malawi,23 July 2020,Ntchisi,0,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,
Malawi,23 July 2020,Phalombe,0,9,0,0,0,5,3,6,4,,,,,,,,,,,,,,
Malawi,23 July 2020,Rumphi,1,26,0,0,10,12,7,19,0,,,,,,,,,,,,,,
Malawi,23 July 2020,Salima,0,23,0,0,0,21,18,5,3,,,,,,,,,,,,,,
Malawi,23 July 2020,Thyolo,0,46,0,1,0,28,26,20,4,,,,,,,,,,,,,,
Malawi,23 July 2020,Zomba,6,84,0,4,3,21,26,58,0,,,,,,,,,,,,,,
Malawi,24 July 2020,Balaka,0,38,0,1,9,24,34,4,,,,,,,,,,,,,,,
Malawi,24 July 2020,Blantyre,28,1021,6,38,0,140,133,888,,,,,,,,,,,,,,,
Malawi,24 July 2020,Chikwawa,0,20,0,0,6,23,16,4,,,,,,,,,,,,,,,
